科ごとのid,科の教室のid,教室名
1,1,メカトロニクス科機械加工実習場,mekatoro_kikaikakou
1,2,メカトロニクス科CAD/CAM室,mekatoro_cadcam
1,3,メカトロ二クス科制御工学実験室,mekatoro_seigyo
1,4,メカトロニクス科電子工学実験室,mekatoro_densi
2,1,電子技術科コンピュータ実習室,densi_computer
2,2,電子技術科総合実験室,densi_sougouziken
2,3,電子技術科無響室,densi_mukyo
3,1,建築科建築実習場,kentiku_zisyuzyou
3,2,建築科環境工学実験室,kentiku_kougaku
3,3,建築科建築デザイン室,kentiku_dezain
3,4,建築科CAD室,kentiku_cad
4,1,産業デザイン科デザイン実験室,sande_dezainjikken
4,2,産業デザイン科デザイン室,sande_dezain
4,3,産業デザイン科木材加工室,sande_mokuzai
4,4,産業デザイン科コンピュータ室,sande_computer
5,1,情報技術科計算機工学実験室,zyohou_keisanki
5,2,情報技術科工作室,zyohou_kousaku
5,3,情報技術科通信実験室,zyohou_tusin
5,4,情報技術科画像実験室,zyohou_gazou
6,1,専攻科産業技術専攻科実習室,senkou_zisyu
7,1,矢巾校本館多目的ホール,honkan_tamoku
7,2,矢巾校本館大教室,honkan_dai
7,3,矢巾校本館図書館,honkan_tosyo
7,4,矢巾校本館学生ホール,honkan_horu
7,5,矢巾校本館ラウンジ,honkan_raunzi
7,6,矢巾校本館食堂,honkan_syokudo
0,0,0,0
